Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM,Season3 OBPM,Season3 DBPM,Season3 BPM
Anthony Davis,PF,2012,19.3,FR,Kentucky,81.25,221.8,89.5,108.0,1,0.654,0.628,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,550.0,9.1,8.1,17.2,6.6,2.3,8.899999999999999
Brandon Clarke,SF,2019,22.8,JR,Gonzaga,79.25,207.2,80.25,102.0,256,0.6990000000000001,0.693,13.9,19.6,17.1,12.3,2.3,11.3,11.3,23.9,603.0,9.8,6.5,16.3,3.1,1.1,4.2
Frank Kaminsky,C,2015,22.22,SR,Wisconsin,83.75,231.2,83.0,109.5,187,0.606,0.57,7.527,21.326999999999998,14.56,15.727,1.7730000000000001,5.053,9.307,25.947,526.2,8.853,4.8,13.652999999999999,0.6,-0.8,-0.20000000000000007
Delon Wright,PG,2015,23.16,SR,Utah,76.25,181.4,79.5,101.5,187,0.626,0.56,4.2,14.8,9.967,31.533,4.033,3.4,15.232999999999999,22.333000000000002,557.3330000000001,8.0,6.5,14.433,1.4,1.8,3.2
Victor Oladipo,SG,2013,21.15,JR,Indiana,75.25,213.2,81.25,100.5,146,0.623,0.591,10.786,15.571,13.229000000000001,14.386,4.0,2.471,18.129,22.529,422.714,6.629,4.757,11.386,0.9,0.9,1.8
Kelly Olynyk,PF,2013,22.19,JR,Gonzaga,82.75,234.0,81.75,108.0,151,0.659,0.635,11.767000000000001,22.033,17.133,13.732999999999999,1.567,3.8,17.167,27.7,409.0,7.567,2.7,10.2,1.2,0.8,2.0
Jae Crowder,SF,2012,21.98,SR,Marquette,76.75,241.2,81.25,99.5,161,0.5870000000000001,0.562,7.832999999999999,21.3,14.533,12.8,3.8,3.167,7.667000000000001,22.333000000000002,505.667,7.8,4.6,12.433,-0.2,0.7,0.49999999999999994
Trey Burke,PG,2013,20.62,SO,Michigan,71.75,187.0,77.5,97.5,108,0.5589999999999999,0.521,2.0669999999999997,9.967,5.9670000000000005,34.433,2.4330000000000003,1.4,13.5,27.666999999999998,694.3330000000001,8.0,2.9330000000000003,10.933,0.7,-1.2,-0.5
Kemba Walker,PG,2011,21.13,JR,Connecticut,71.5,184.0,75.5,91.5,16,0.5429999999999999,0.478,3.9,11.5,7.9,28.0,3.1,0.5,9.5,32.4,930.0,9.2,3.9,13.1,1.4,0.3,1.7
Cameron Johnson,SG,2019,23.3,SR,North Carolina,79.0,205.2,82.0,103.0,354,0.648,0.621,6.5,13.3,10.0,13.8,2.1,1.1,10.3,21.8,545.0,9.4,3.5,12.9,2.0,0.7,2.7
Buddy Hield,SG,2016,22.52,SR,Oklahoma,75.75,212.4,81.25,101.0,111,0.607,0.569,4.973,12.2,8.747,12.84,2.14,1.073,12.913,28.206999999999997,659.3330000000001,8.472999999999999,2.4,10.867,3.5,-1.4,2.1
Grant Williams,PF,2019,20.55,JR,Tennessee,77.75,240.2,81.75,104.5,207,0.606,0.544,9.229,16.0,12.814,16.143,1.743,5.671,13.571,26.643,595.286,6.343,3.714,9.986,-1.4,1.1,-0.2999999999999998
Willie Cauley-Stein,C,2015,21.85,JR,Kentucky,83.25,242.4,87.0,111.0,39,0.584,0.586,11.657,17.186,14.629000000000001,7.0,2.8139999999999996,8.771,14.171,16.957,305.0,4.729,6.8,11.557,-0.4,0.3,-0.10000000000000003
Kentavious Caldwell-Pope,SG,2013,20.35,SO,Georgia,76.5,203.6,80.0,100.5,15,0.552,0.513,4.533,19.6,11.933,14.4,3.767,1.7,10.033,27.7,474.333,7.167000000000001,3.533,10.7,-1.1,0.8,-0.30000000000000004
Derrick White,PG,2017,22.97,SR,Colorado,75.25,189.8,79.5,101.5,261,0.627,0.578,3.5,10.5,7.0,28.6,2.2,4.9,14.2,25.3,603.0,9.0,3.4,12.4,1.2,0.1,1.3
Draymond Green,PF,2012,22.32,SR,Michigan State,77.75,235.6,85.25,105.0,95,0.534,0.496,8.667,28.333000000000002,18.733,26.333000000000002,3.0,3.533,16.567,27.033,562.3330000000001,6.433,5.6,12.0,0.7,2.8,3.5
Taurean Prince,SF,2016,22.26,SR,Baylor,78.5,220.2,83.5,102.0,174,0.5489999999999999,0.513,8.829,14.985999999999999,11.943,13.186,2.7289999999999996,2.8569999999999998,15.614,27.570999999999998,434.85699999999997,5.414,2.2430000000000003,7.657,-1.0,-1.0,-2.0
Derrick Williams,PF,2011,20.08,SO,Arizona,79.25,248.4,85.5,108.0,101,0.69,0.65,11.8,21.9,17.0,8.7,1.9,2.3,15.7,28.9,675.0,9.6,2.5,12.1,-1.6,-0.5,-2.1
Jevon Carter,PG,2018,22.77,SR,West Virginia,72.25,196.2,76.25,95.0,253,0.544,0.499,2.853,12.732999999999999,7.513,28.587,4.553,1.073,14.02,22.38,561.6,5.587000000000001,5.327000000000001,10.913,-0.4,0.9,0.5
Josh Hart,SG,2017,22.3,SR,Villanova,75.75,209.2,80.25,101.0,97,0.616,0.589,6.973,16.527,12.133,15.42,2.593,1.093,11.267000000000001,24.94,565.8,7.107,3.6069999999999998,10.673,-1.1,0.4,-0.7000000000000001
Marcus Smart,PG,2014,20.31,SO,Oklahoma State,74.0,227.2,81.25,99.0,9,0.545,0.47600000000000003,5.2,15.033,10.232999999999999,29.0,5.1,2.0,15.633,28.533,571.6669999999999,5.9,5.733,11.6,-1.9,0.6,-1.2999999999999998
Sean Kilpatrick,SG,2014,24.47,SR,Cincinnati,74.5,218.7,79.0,99.0,151,0.557,0.51,4.1,12.22,8.007,16.2,2.4530000000000003,0.39299999999999996,10.587,28.033,560.4,7.4270000000000005,2.62,9.993,-0.9,-1.4,-2.3
Jared Sullinger,PF,2012,20.32,SO,Ohio State,79.75,268.2,85.25,105.5,2,0.591,0.54,12.967,25.866999999999997,19.3,8.2,2.2,3.333,10.967,27.6,611.6669999999999,7.367000000000001,3.533,10.967,1.3,-0.2,1.1
Cody Zeller,C,2013,20.73,SO,Indiana,82.75,230.0,82.75,106.0,12,0.638,0.584,11.967,19.733,16.033,9.5,2.367,4.367,13.8,25.767,555.0,7.5329999999999995,3.7,11.3,-1.1,1.0,-0.10000000000000009
Gorgui Dieng,C,2013,23.44,JR,Louisville,81.75,229.6,87.5,111.5,49,0.5670000000000001,0.544,12.629000000000001,21.729,17.1,10.086,2.329,10.3,17.7,16.7,331.14300000000003,3.6430000000000002,6.257000000000001,9.9,-0.1,0.8,0.7000000000000001
Ty Jerome,PG,2019,21.95,JR,Virginia,76.25,194.4,76.0,98.0,47,0.56,0.537,1.4709999999999999,12.786,7.357,28.943,3.014,0.171,13.629000000000001,22.186,441.286,4.9430000000000005,4.971,9.971,-2.2,-0.2,-2.4000000000000004
Jordan Hamilton,SF,2011,20.71,SO,Texas,78.75,228.4,81.5,104.0,30,0.55,0.522,7.0,18.5,12.9,14.6,1.6,1.8,11.2,29.1,612.0,8.3,3.1,11.4,0.2,0.6,0.8
Malcolm Brogdon,SG,2016,23.53,SR,Virginia,75.75,223.0,82.5,98.0,80,0.564,0.506,2.313,13.753,8.207,18.267,1.7930000000000001,1.013,10.293,26.593000000000004,525.3330000000001,6.087000000000001,3.613,9.687000000000001,2.0,0.1,2.1
Sam Dekker,SF,2015,21.14,JR,Wisconsin,79.75,218.6,83.5,106.0,17,0.59,0.568,7.7860000000000005,15.2,11.557,9.786,1.357,1.6569999999999998,8.343,22.986,471.57099999999997,7.542999999999999,2.271,9.871,-2.3,-0.6,-2.9
Donovan Mitchell,SG,2017,20.79,SO,Louisville,73.25,211.4,82.0,97.0,32,0.532,0.495,4.667,13.1,8.9,15.933,3.3,1.3330000000000002,10.833,23.366999999999997,412.333,4.7,5.132999999999999,9.767000000000001,2.4,-0.6,1.7999999999999998
Trae Young,PG,2018,19.75,FR,Oklahoma,72.5,177.8,75.0,95.5,21,0.585,0.518,1.3,10.0,5.8,48.6,2.5,0.7,18.2,37.1,935.0,9.7,1.3,11.1,5.3,-1.7,3.5999999999999996
Kyle Anderson,SF,2014,20.76,SO,UCLA,79.5,230.1,86.75,107.5,3,0.539,0.488,5.667000000000001,25.333000000000002,15.732999999999999,29.8,3.2,2.733,18.5,22.733,531.3330000000001,5.2,4.433,9.7,-1.4,3.2,1.8000000000000003
Doug McDermott,SF,2014,22.48,SR,Creighton,78.25,218.0,81.25,103.0,151,0.654,0.614,7.252999999999999,19.78,14.013,11.16,0.413,0.387,10.28,34.44,733.3330000000001,10.567,-0.473,10.093,-0.9,-1.4,-2.3
De'Andre Hunter,SF,2019,21.55,SO,Virginia,79.0,225.0,86.0,105.0,80,0.607,0.565,6.233,13.933,10.3,12.6,1.433,2.5,10.232999999999999,24.633000000000003,457.333,6.733,3.733,10.467,-2.4,-1.5,-3.9
Dion Waiters,SG,2012,20.55,SO,Syracuse,74.5,221.0,79.25,98.0,23,0.551,0.517,2.467,8.5,5.5329999999999995,19.9,4.467,1.2670000000000001,11.067,25.267,357.0,4.567,4.6,9.167,-2.5,-0.8,-3.3
T.J. Warren,SF,2014,20.8,SO,NC State,79.0,220.2,82.25,104.0,26,0.595,0.58,10.4,11.4,10.933,7.7,2.9330000000000003,1.7,9.7,30.166999999999998,643.3330000000001,8.167,1.6669999999999998,9.833,0.1,-0.7,-0.6
Tyler Zeller,PF,2012,22.44,SR,North Carolina,83.25,247.4,84.0,104.5,19,0.611,0.552,13.0,19.667,16.3,5.667000000000001,1.6,4.933,11.533,24.2,562.3330000000001,6.567,3.8,10.367,1.0,0.0,1.0
Ben McLemore,SG,2013,20.37,FR,Kansas,75.5,189.2,79.75,100.5,41,0.633,0.586,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,530.0,7.2,3.4,10.5,-3.1,-0.7,-3.8
Monte Morris,PG,2017,21.99,SR,Iowa State,73.25,175.2,76.0,96.5,96,0.562,0.53,3.08,10.052999999999999,6.712999999999999,29.787,2.5669999999999997,0.833,9.213,20.093,576.6,6.252999999999999,3.02,9.26,0.4,-0.5,-0.09999999999999998
Chris Boucher,PF,2017,24.44,SR,Oregon,80.0,182.2,88.0,110.5,261,0.604,0.596,10.133,20.2,15.433,3.3,1.2670000000000001,11.8,9.767000000000001,22.6,356.0,4.7669999999999995,4.0,8.8,1.0,1.0,2.0
Jakob Poeltl,C,2016,20.69,SO,Utah,84.25,239.0,86.75,111.5,253,0.653,0.6579999999999999,13.267000000000001,21.4,17.667,11.467,1.067,6.2,15.2,24.133000000000003,499.0,6.233,3.267,9.5,1.3,0.7,2.0
Mike Scott,PF,2012,23.95,SR,Virginia,79.25,240.8,82.75,104.0,130,0.62,0.5710000000000001,9.7,26.2,18.0,10.7,1.4,1.8,12.6,30.9,522.0,7.7,2.6,10.4,0.6,-1.1,-0.5000000000000001
Miles Bridges,SF,2018,20.25,SO,Michigan State,77.25,220.4,81.5,103.5,12,0.575,0.544,5.367000000000001,19.833,13.333,16.1,1.2,3.3,12.367,27.166999999999998,493.0,6.367000000000001,2.867,9.232999999999999,0.2,0.1,0.30000000000000004
Gary Harris,SG,2014,19.78,SO,Michigan State,74.5,204.8,78.75,96.0,18,0.569,0.53,3.9,9.067,6.632999999999999,14.467,3.2,1.3,10.867,25.233,489.667,6.2,3.6,9.767000000000001,1.5,-0.9,0.6
Luke Kennard,SG,2017,20.99,SO,Duke,76.5,196.2,77.25,98.5,21,0.605,0.5539999999999999,3.967,11.633,7.933,12.667,1.633,0.8,8.467,23.1,581.6669999999999,7.0329999999999995,1.8330000000000002,8.8,1.1,-1.4,-0.2999999999999998
Markieff Morris,PF,2011,21.8,JR,Kansas,79.75,240.8,82.75,106.5,52,0.642,0.627,13.9,24.7,19.7,11.0,1.9,4.9,16.2,25.5,485.0,6.7,3.6,10.3,0.8,0.2,1.0
Jalen Brunson,PG,2018,21.8,JR,Villanova,73.0,198.4,76.0,96.0,19,0.633,0.595,1.629,8.686,5.329,25.386,1.7,0.057,13.1,24.8,634.857,6.686,2.171,8.857000000000001,1.5,-0.6,0.9
Norris Cole,PG,2011,22.69,SR,Cleveland State,72.25,174.4,74.25,95.5,171,0.5579999999999999,0.483,2.5,16.5,9.5,37.0,3.7,0.3,12.2,32.1,788.0,6.7,3.5,10.2,-2.8,-0.4,-3.1999999999999997
Kris Dunn,PG,2016,22.27,JR,Providence,75.0,205.0,81.5,100.0,19,0.5429999999999999,0.502,3.3,15.232999999999999,9.167,44.533,4.5,1.633,20.067,28.066999999999997,574.6669999999999,4.7330000000000005,5.367000000000001,10.133,-2.8,0.2,-2.5999999999999996
Terrence Jones,PF,2012,20.47,SO,Kentucky,80.25,252.0,86.25,107.0,10,0.535,0.505,10.133,19.033,14.8,9.232999999999999,2.533,5.867000000000001,12.2,24.333000000000002,504.0,4.867,4.567,9.5,0.7,0.5,1.2
E'Twaun Moore,SG,2011,22.31,SR,Purdue,74.5,191.4,81.5,99.5,24,0.545,0.518,5.1,12.5,8.8,20.9,2.2,1.6,9.8,28.0,573.0,7.1,3.1,10.2,-1.9,0.3,-1.5999999999999999
Kenrich Williams,SF,2018,23.55,SR,TCU,78.0,200.4,79.25,103.5,253,0.564,0.545,10.6,21.129,15.929,16.2,2.657,1.9140000000000001,13.270999999999999,17.957,435.85699999999997,5.629,3.386,9.014,-1.2,0.5,-0.7
Dorian Finney-Smith,SF,2016,23.14,SR,Florida,78.5,212.6,83.75,105.5,23,0.555,0.524,9.471,18.486,13.870999999999999,13.743,1.814,2.786,13.5,23.6,444.0,5.9,3.286,9.1,-1.8,0.4,-1.4
Jaxson Hayes,PF,2019,19.07,FR,Texas,82.25,218.6,87.5,110.5,126,0.7390000000000001,0.728,8.7,16.3,12.5,2.6,1.5,10.6,11.8,17.2,280.0,4.6,5.5,10.1,0.6,-0.3,0.3
Ja Morant,PG,2019,19.86,SO,Murray State,74.5,175.0,78.0,99.0,250,0.598,0.537,4.7,13.633,9.467,45.567,2.333,1.9669999999999999,19.733,29.0,776.3330000000001,6.832999999999999,1.567,8.4,6.2,-0.1,6.1000000000000005
Justise Winslow,SF,2015,19.25,FR,Duke,76.5,221.8,82.25,104.5,14,0.5720000000000001,0.551,5.4,19.8,13.1,13.2,2.8,2.9,14.2,22.9,473.0,5.3,4.6,10.0,-2.2,1.1,-1.1
Grayson Allen,SG,2018,22.7,SR,Duke,75.0,198.0,79.25,97.0,24,0.5820000000000001,0.529,2.18,9.433,5.987,20.147000000000002,2.3,0.3,13.3,22.86,546.133,5.307,2.467,7.787000000000001,-0.2,0.1,-0.1
John Collins,PF,2017,19.75,SO,Wake Forest,80.25,225.2,83.25,106.5,134,0.635,0.597,15.167,22.633000000000003,18.967,4.167,1.2329999999999999,6.067,12.033,27.9,456.0,6.733,0.767,7.433,3.7,-0.6,3.1
Will Barton,SG,2012,21.48,SO,Memphis,77.0,174.4,81.75,102.5,9,0.5589999999999999,0.526,6.867000000000001,17.767,12.567,18.1,2.5669999999999997,1.933,13.933,25.133000000000003,553.6669999999999,5.1,2.467,7.632999999999999,-1.2,1.1,-0.09999999999999987
Damian Lillard,PG,2012,21.95,JR,Weber State,73.75,188.8,79.75,95.5,199,0.635,0.562,1.9,15.8,9.0,27.1,2.5,0.7,10.7,33.0,746.0,9.1,0.7,9.8,4.3,0.3,4.6
Klay Thompson,SG,2011,21.37,JR,Washington State,77.75,205.6,81.0,103.5,61,0.574,0.525,2.6,14.0,8.6,25.0,2.8,3.1,15.3,32.8,694.0,6.8,3.0,9.8,0.9,-0.1,0.8
Iman Shumpert,PG,2011,20.99,JR,Georgia Tech,76.25,221.8,81.5,99.5,24,0.517,0.45399999999999996,5.7,16.4,10.6,25.7,5.0,0.7,12.2,29.1,528.0,5.4,4.2,9.6,-2.4,0.4,-2.0
Montrezl Harrell,PF,2015,21.41,JR,Louisville,79.0,253.4,88.25,109.0,83,0.5870000000000001,0.588,10.8,18.757,14.743,7.957000000000001,1.757,4.186,11.943,21.471,467.14300000000003,5.5,3.471,8.971,3.1,0.2,3.3000000000000003
Mason Plumlee,C,2013,23.31,SR,Duke,83.25,238.2,83.0,108.0,18,0.602,0.59,10.657,25.256999999999998,17.986,11.357000000000001,1.729,4.586,18.543,22.256999999999998,502.14300000000003,4.957,3.714,8.671,0.0,1.6,1.6
Devin Booker,SG,2015,18.65,FR,Kentucky,76.5,205.8,80.25,102.5,20,0.6,0.5710000000000001,2.6,7.8,5.4,10.9,1.3,0.3,10.4,22.8,324.0,6.1,3.3,9.4,2.9,-2.0,0.8999999999999999
Jimmy Butler,SF,2011,21.77,SR,Marquette,78.0,222.2,79.5,101.5,171,0.5870000000000001,0.516,8.2,12.0,10.1,13.2,2.4,1.1,9.8,21.3,569.0,7.2,2.2,9.4,-0.9,2.0,1.1
Michael Carter-Williams,PG,2013,21.71,SO,Syracuse,76.75,184.4,79.25,101.0,28,0.491,0.43799999999999994,4.0,12.7,8.2,40.1,4.7,1.8,22.2,22.2,580.0,4.0,5.5,9.4,-1.4,0.6,-0.7999999999999999
Damyean Dotson,SG,2017,23.13,SR,Houston,76.5,205.2,81.0,100.0,261,0.616,0.597,5.767,17.8,11.732999999999999,7.167000000000001,1.5,0.633,7.367000000000001,22.033,457.0,7.8,0.9329999999999999,8.633,-0.9,-0.5,-1.4
Markelle Fultz,PG,2017,19.07,FR,Washington,75.0,185.0,81.0,101.0,4,0.5579999999999999,0.535,4.0,13.9,8.9,35.5,2.5,3.1,13.4,31.4,582.0,7.7,1.7,9.4,-1.8,0.0,-1.8
Rondae Hollis-Jefferson,SF,2015,20.47,SO,Arizona,77.5,210.8,86.0,104.0,14,0.563,0.507,9.467,18.633,14.232999999999999,10.4,2.2,3.7,13.167,20.3,409.0,4.0,5.132999999999999,9.167,-0.3,0.4,0.10000000000000003
Stanley Johnson,SF,2015,19.07,FR,Arizona,77.0,241.8,83.5,102.0,4,0.551,0.501,8.9,19.1,14.1,11.6,3.2,1.6,14.7,26.6,509.0,5.0,4.4,9.4,-4.0,1.1,-2.9
Terry Rozier,PG,2015,21.27,SO,Louisville,72.5,190.2,80.25,98.5,18,0.507,0.46399999999999997,4.0,13.833,8.867,18.667,3.4,0.433,10.367,24.967,481.333,4.2330000000000005,4.5,8.7,0.9,1.2,2.1
Nikola Vucevic,PF,2011,20.66,JR,Southern California,82.25,259.8,88.5,112.5,161,0.578,0.539,9.8,25.6,17.7,11.0,0.9,4.4,10.3,25.5,558.0,6.7,2.8,9.4,0.1,0.0,0.1
Tyus Jones,PG,2015,19.12,FR,Duke,72.5,184.6,77.0,97.0,6,0.575,0.489,1.8,9.9,6.1,27.5,2.7,0.2,15.9,18.7,532.0,6.0,3.3,9.3,-0.8,1.7,0.8999999999999999
Semi Ojeleye,SF,2017,22.55,JR,Southern Methodist,77.25,241.4,81.75,102.0,32,0.621,0.5720000000000001,8.4,15.0,11.9,9.3,0.8,1.6,8.5,25.9,595.0,8.3,1.1,9.3,-2.1,0.4,-1.7000000000000002
Nik Stauskas,SG,2014,20.72,SO,Michigan,77.25,206.9,79.75,102.0,77,0.639,0.59,1.767,9.333,5.567,15.067,1.067,0.867,11.833,22.033,522.6669999999999,7.5,1.2,8.7,-2.1,-0.8,-2.9000000000000004
Myles Turner,C,2015,19.25,FR,Texas,81.75,238.6,88.0,112.0,5,0.556,0.488,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,310.0,3.4,6.0,9.3,-0.6,0.4,-0.19999999999999996
Kawhi Leonard,SF,2011,19.98,SO,San Diego State,78.0,227.4,87.0,106.0,54,0.512,0.47100000000000003,11.4,26.2,19.0,16.0,2.7,1.9,12.3,27.6,567.0,5.3,3.9,9.2,2.1,3.0,5.1
Moritz Wagner,C,2018,21.15,JR,Michigan,82.5,241.4,84.0,108.0,113,0.629,0.616,7.229,20.4,13.9,5.6,2.171,1.9709999999999999,12.671,24.543000000000003,412.42900000000003,4.2139999999999995,2.9139999999999997,7.129,-2.7,0.2,-2.5
Dillon Brooks,SG,2017,21.42,JR,Oregon,77.0,220.2,78.0,100.5,253,0.573,0.537,5.886,10.614,8.357000000000001,20.4,2.086,1.8,13.629000000000001,28.686,540.714,5.386,2.114,7.471,-2.7,-1.4,-4.1
Joe Harris,SG,2014,22.8,SR,Virginia,76.75,215.0,78.0,100.0,127,0.574,0.5489999999999999,3.227,11.413,7.347,16.367,1.993,1.26,11.86,24.107,418.267,4.867,3.347,8.213,-2.6,-0.9,-3.5
Shane Larkin,PG,2013,20.73,SO,Miami (FL),70.25,170.8,70.75,89.5,95,0.568,0.525,1.933,10.833,6.332999999999999,23.8,3.5,0.3,17.367,20.533,443.0,3.6,3.5,7.132999999999999,-1.6,-0.4,-2.0
Andre Roberson,PF,2013,21.56,JR,Colorado,78.25,205.8,83.0,104.5,151,0.5479999999999999,0.537,11.829,29.557,20.785999999999998,8.857000000000001,3.471,5.171,17.414,19.557000000000002,361.286,3.7430000000000003,4.2860000000000005,8.057,-0.7,1.3,0.6000000000000001
