Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM,Season3 OBPM,Season3 DBPM,Season3 BPM
Donte DiVincenzo,SG,2018,21.39,SO,Villanova,75.5,200.6,78.0,97.5,256,0.599,0.579,5.1,13.533,9.533,17.333,2.0669999999999997,0.9,15.367,21.267,478.333,5.267,3.033,8.3,-0.2,0.4,0.2
Shai Gilgeous-Alexander,PG,2018,19.94,FR,Kentucky,76.5,180.0,83.5,104.0,33,0.578,0.516,3.2,10.0,6.8,28.8,2.8,1.7,17.9,21.9,571.0,5.3,3.7,9.0,3.9,0.2,4.1
Jerian Grant,PG,2015,22.71,SR,Notre Dame,75.25,198.0,79.5,100.0,111,0.563,0.509,1.3430000000000002,8.471,5.071000000000001,32.214,2.557,1.043,14.814,23.570999999999998,609.0,5.6,1.614,7.2139999999999995,-0.9,-0.5,-1.4
John Henson,PF,2012,21.5,JR,North Carolina,81.0,216.0,89.0,112.0,4,0.504,0.5,10.232999999999999,26.5,18.333,7.267,1.133,10.267000000000001,10.8,23.267,431.667,3.633,5.1,8.732999999999999,-1.5,2.2,0.7000000000000002
Nickeil Alexander-Walker,SG,2019,20.8,SO,Virginia Tech,76.25,203.8,81.5,102.0,34,0.5820000000000001,0.5489999999999999,2.4,13.333,8.1,19.933,2.9,2.367,16.233,25.0,470.667,4.2669999999999995,3.367,7.567,-1.8,-1.1,-2.9000000000000004
Treveon Graham,SF,2015,21.66,SR,Virginia Commonwealth,76.0,219.4,82.5,103.0,187,0.544,0.504,8.193,19.56,13.433,12.807,1.5530000000000002,0.9670000000000001,8.933,27.206999999999997,490.86699999999996,7.1129999999999995,1.0,8.16,-2.8,0.1,-2.6999999999999997
Tyler Herro,SG,2019,19.41,FR,Kentucky,76.5,192.4,75.25,100.5,40,0.58,0.536,1.6,13.9,8.2,15.0,2.0,1.1,11.8,21.4,479.0,5.1,3.8,8.9,1.6,-0.9,0.7000000000000001
Bobby Portis,PF,2015,20.37,SO,Arkansas,81.5,246.2,86.0,108.5,17,0.575,0.5429999999999999,12.433,19.033,15.7,9.5,2.1,5.167000000000001,9.567,24.933000000000003,522.3330000000001,6.7,1.9,8.5,2.2,-1.3,0.9000000000000001
Tristan Thompson,PF,2011,20.28,FR,Texas,79.5,227.4,85.25,108.5,12,0.536,0.546,14.0,13.7,13.8,8.1,1.8,7.2,12.7,22.4,475.0,4.4,4.5,8.9,-0.6,-1.5,-2.1
Quinn Cook,PG,2015,22.26,SR,Duke,72.25,179.0,76.0,96.5,30,0.583,0.5429999999999999,1.52,9.073,5.372999999999999,20.393,2.127,0.16699999999999998,11.293,20.167,478.13300000000004,5.653,2.287,7.893,-0.1,-1.5,-1.6
Thomas Robinson,PF,2012,21.28,JR,Kansas,79.75,244.2,87.25,106.0,25,0.562,0.542,13.767000000000001,32.233000000000004,23.233,11.4,1.9,3.5669999999999997,15.067,28.7,521.6669999999999,4.833,3.133,7.933,-2.3,0.3,-1.9999999999999998
Landry Shamet,PG,2018,21.27,SO,Wichita State,76.0,188.6,78.75,100.0,171,0.6459999999999999,0.614,1.933,9.4,5.8,26.6,1.4,0.767,13.9,20.067,451.333,6.8,1.9,8.667,-1.0,-1.5,-2.5
Richaun Holmes,PF,2015,21.69,SR,Bowling Green State,80.25,242.8,85.5,108.0,187,0.611,0.58,11.457,19.543,15.529000000000002,6.386,1.714,11.029000000000002,13.814,23.186,383.714,4.0,3.157,7.171,-0.3,1.4,1.0999999999999999
Kenneth Faried,PF,2011,21.59,SR,Morehead State,78.0,224.6,84.0,108.0,171,0.619,0.623,20.0,31.4,25.6,7.4,3.4,8.8,15.8,24.5,588.0,6.2,2.3,8.5,1.2,-0.3,0.8999999999999999
Bradley Beal,SG,2012,19.0,FR,Florida,75.25,201.8,80.0,100.0,4,0.575,0.525,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23.0,522.0,5.4,2.9,8.4,-0.1,0.2,0.1
Allen Crabbe,SG,2013,21.22,JR,California,77.25,197.4,83.25,103.5,72,0.569,0.531,3.2289999999999996,16.5,10.014,14.485999999999999,1.571,1.814,12.329,24.6,497.85699999999997,5.7,2.2430000000000003,7.971,-0.9,-0.1,-1.0
Aaron Gordon,PF,2014,18.78,FR,Arizona,79.5,220.1,83.75,105.0,3,0.503,0.516,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,469.0,3.7,4.7,8.4,-0.3,-0.7,-1.0
Andrew Harrison,PG,2015,20.66,SO,Kentucky,76.5,213.2,81.0,100.0,4,0.523,0.436,2.133,8.1,5.3,25.267,2.0,0.833,17.233,21.333000000000002,416.333,2.9330000000000003,3.467,6.4,-1.0,-0.5,-1.5
Daniel Gafford,PF,2019,20.72,SO,Arkansas,81.25,237.6,86.5,110.0,36,0.633,0.642,11.133,21.666999999999998,16.433,6.0,1.633,9.633,13.533,25.3,442.667,5.132999999999999,2.667,7.8,1.1,0.5,1.6
Solomon Hill,SF,2013,22.28,SR,Arizona,77.5,226.0,81.0,103.0,48,0.585,0.545,7.386,15.957,11.657,16.8,2.029,1.5859999999999999,17.271,20.971,445.0,4.7860000000000005,2.714,7.5,-1.1,1.2,0.09999999999999987
Chandler Parsons,SF,2011,22.66,SR,Florida,80.75,221.2,81.5,104.5,40,0.551,0.546,7.3,19.3,13.4,21.6,1.7,1.3,18.0,19.2,440.0,5.1,3.2,8.3,1.5,0.2,1.7
Jake Layman,SF,2016,22.3,SR,Maryland,80.0,208.6,81.25,102.0,65,0.603,0.565,4.827,14.607000000000001,10.12,8.073,1.92,3.14,14.84,19.42,373.333,4.16,3.02,7.22,-0.1,-0.3,-0.4
Pascal Siakam,PF,2016,22.38,SO,New Mexico State,80.25,226.6,87.25,107.5,253,0.584,0.552,13.433,21.666999999999998,17.767,11.4,1.7,6.3,11.767000000000001,26.467,576.0,4.933,2.4,7.3,1.6,0.8,2.4000000000000004
Steven Adams,C,2013,19.94,FR,Pittsburgh,82.75,254.5,88.5,109.5,5,0.555,0.5710000000000001,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,228.0,4.0,4.2,8.1,0.0,0.2,0.2
Alec Burks,SG,2011,19.93,SO,Colorado,77.0,192.6,82.0,103.5,199,0.574,0.495,9.2,14.8,12.1,19.6,2.0,1.0,12.7,32.3,771.0,8.0,0.0,8.1,0.2,-1.0,-0.8
Isaiah Canaan,PG,2013,22.1,SR,Murray State,71.0,188.4,76.5,94.5,199,0.594,0.5429999999999999,2.329,9.514,5.886,25.414,2.471,0.34299999999999997,14.9,28.671,592.429,5.6,0.2,5.8,-0.8,-1.6,-2.4000000000000004
Josh Okogie,SG,2018,19.8,SO,Georgia Tech,75.0,210.8,84.0,102.0,222,0.55,0.479,6.733,13.232999999999999,10.067,14.433,2.733,2.7,13.0,27.4,463.0,4.7669999999999995,2.467,7.3,-3.7,0.3,-3.4000000000000004
Isaiah Thomas,PG,2011,22.37,JR,Washington,68.75,186.0,73.75,91.5,104,0.563,0.517,2.5,9.5,6.0,32.7,2.3,0.2,16.6,26.2,625.0,6.2,1.9,8.1,3.9,-0.7,3.2
Pat Connaughton,SG,2015,22.46,SR,Notre Dame,76.0,215.0,80.0,96.0,136,0.599,0.579,3.98,19.42,12.052999999999999,10.447000000000001,1.3530000000000002,2.08,9.807,17.407,397.8,5.653,1.6130000000000002,7.267,-1.7,-0.1,-1.8
Trey Lyles,PF,2015,19.64,FR,Kentucky,81.0,241.2,85.5,108.0,13,0.5429999999999999,0.496,9.9,16.1,13.3,9.2,1.4,2.1,12.4,20.8,308.0,3.9,4.1,8.0,2.0,-0.7,1.3
Coby White,PG,2019,19.34,FR,North Carolina,75.5,191.4,77.0,97.5,21,0.556,0.516,1.3,11.3,6.4,24.4,2.0,1.3,15.5,26.8,538.0,5.2,2.8,8.0,-0.4,-1.7,-2.1
Isaiah Roby,PF,2019,21.37,JR,Nebraska,79.25,214.0,85.0,106.0,149,0.5539999999999999,0.519,7.143,17.686,12.443,12.370999999999999,2.086,6.643,17.586,19.414,333.0,2.129,3.986,6.143,0.4,0.2,0.6000000000000001
Terrence Ross,SG,2012,21.39,SO,Washington,78.0,196.6,79.25,100.5,32,0.557,0.536,4.9,16.9,10.667,9.333,2.133,2.667,10.967,23.933000000000003,417.333,4.867,2.633,7.5,-0.1,-1.3,-1.4000000000000001
Hollis Thompson,SF,2012,21.24,JR,Georgetown,78.75,206.0,81.5,102.5,66,0.593,0.5770000000000001,5.867000000000001,16.4,11.4,9.067,1.633,1.767,12.232999999999999,20.7,334.0,4.7669999999999995,2.267,6.9670000000000005,-1.6,-0.3,-1.9000000000000001
Kevin Huerter,SG,2018,19.82,SO,Maryland,78.25,194.0,79.5,101.5,63,0.611,0.5920000000000001,3.367,13.933,9.033,19.467,1.367,2.2,16.6,19.967,406.0,5.233,2.5,7.733,-0.6,0.4,-0.19999999999999996
Michael Kidd-Gilchrist,SF,2012,18.75,FR,Kentucky,77.75,232.8,84.0,104.5,3,0.57,0.511,10.3,17.3,14.0,10.8,1.9,2.8,17.3,20.6,497.0,4.1,3.6,7.7,-1.1,0.6,-0.5000000000000001
Terance Mann,SG,2019,22.67,SR,Florida State,76.75,204.6,79.75,101.0,97,0.603,0.573,8.573,13.732999999999999,11.187000000000001,14.812999999999999,1.52,1.087,15.133,17.713,408.333,4.48,2.533,7.02,-0.8,0.2,-0.6000000000000001
Thomas Bryant,PF,2017,19.89,SO,Indiana,81.5,247.8,90.0,112.5,22,0.635,0.604,10.167,17.833,14.232999999999999,9.232999999999999,1.4669999999999999,5.167000000000001,17.467,22.166999999999998,406.0,4.3,2.367,6.667000000000001,2.9,-0.7,2.2
Cody Martin,PG,2019,23.73,SR,Nevada,76.75,192.2,82.25,102.5,74,0.585,0.5529999999999999,4.033,11.933,8.1,25.267,2.333,2.967,15.1,18.3,494.333,3.833,3.4,7.2,-1.2,0.7,-0.5
Julius Randle,PF,2014,19.57,FR,Kentucky,79.75,249.7,84.0,105.5,2,0.5670000000000001,0.505,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,599.0,5.4,2.1,7.5,-0.6,-0.3,-0.8999999999999999
Jalen McDaniels,SF,2019,21.38,SO,San Diego State,80.25,191.6,84.25,105.5,159,0.564,0.526,8.367,23.0,15.833,13.033,2.033,2.1,13.067,25.233,454.667,2.6,2.0669999999999997,4.667,-1.9,-0.4,-2.3
Eric Paschall,SF,2019,22.62,SR,Villanova,78.0,254.4,87.75,103.5,136,0.591,0.5529999999999999,5.8,14.729000000000001,10.3,11.457,1.4140000000000001,1.929,14.914000000000001,21.557,476.42900000000003,3.486,1.857,5.343,0.5,-1.0,-0.5
Harrison Barnes,SF,2012,20.08,SO,North Carolina,79.0,227.8,83.25,101.5,1,0.525,0.48700000000000004,7.0,12.2,9.633,7.9670000000000005,1.8,1.2,11.033,27.6,555.3330000000001,4.667,2.3,6.9670000000000005,0.2,-0.1,0.1
Tobias Harris,SF,2011,18.94,FR,Tennessee,78.5,222.8,83.0,103.5,6,0.54,0.489,7.5,20.6,14.0,10.4,1.4,3.4,11.4,27.2,476.0,5.5,1.8,7.3,0.0,-0.7,-0.7
Jordan Poole,SG,2019,20.0,SO,Michigan,75.5,190.8,78.75,99.5,89,0.5760000000000001,0.54,0.8,10.433,5.733,11.732999999999999,2.2,0.9,11.833,22.467,354.333,3.133,4.1,7.233,1.3,-0.3,1.0
Wayne Selden,SG,2016,21.73,JR,Kansas,76.25,232.4,82.5,101.0,13,0.546,0.528,3.543,8.314,6.042999999999999,16.657,1.3430000000000002,1.2429999999999999,15.243,21.586,429.57099999999997,3.943,2.171,6.057,-3.8,-1.6,-5.4
Rodney Hood,SF,2014,21.68,SO,Duke,79.25,208.2,80.5,103.0,27,0.59,0.55,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,507.0,6.3,0.9,7.2,-0.6,-0.3,-0.8999999999999999
Meyers Leonard,C,2012,20.33,SO,Illinois,83.75,249.8,87.0,108.0,29,0.584,0.552,7.6,21.533,14.367,7.7,0.9670000000000001,6.332999999999999,20.2,20.6,293.33299999999997,0.233,3.333,3.6,0.1,0.5,0.6
Tony Snell,SF,2013,21.63,JR,New Mexico,78.0,198.2,83.5,105.5,151,0.569,0.529,1.814,9.613999999999999,5.729,19.486,1.3430000000000002,1.743,15.614,20.971,348.14300000000003,3.9139999999999997,1.943,5.886,-3.5,-0.5,-4.0
Kevon Looney,PF,2015,19.38,FR,UCLA,80.0,222.4,87.5,110.0,10,0.532,0.505,12.2,21.0,16.6,9.1,2.5,3.3,10.3,19.7,428.0,4.7,2.3,7.0,-1.2,1.0,-0.19999999999999996
Quincy Acy,PF,2012,21.73,SR,Baylor,78.5,223.8,86.75,106.5,129,0.618,0.5660000000000001,11.1,19.467,15.367,6.433,1.8,6.167000000000001,16.5,19.733,416.0,3.2,3.0669999999999997,6.332999999999999,-2.1,-1.0,-3.1
Collin Sexton,PG,2018,19.46,FR,Alabama,72.5,183.0,79.25,98.5,7,0.5670000000000001,0.498,4.1,9.8,7.0,27.8,1.6,0.3,14.2,32.9,622.0,5.8,1.1,6.9,1.8,-1.9,-0.09999999999999987
Alex Len,C,2013,20.03,SO,Maryland,83.5,255.0,87.5,109.5,187,0.57,0.535,13.2,21.0,17.2,7.8,0.5,8.0,13.1,22.8,434.0,3.6,3.2,6.8,-3.5,-0.8,-4.3
Elfrid Payton,PG,2014,20.34,JR,Louisiana,74.5,185.4,80.0,98.5,187,0.536,0.505,5.757000000000001,12.970999999999998,9.257,32.357,3.5860000000000003,1.6569999999999998,19.285999999999998,26.214000000000002,620.0,3.2569999999999997,1.6569999999999998,4.914,0.8,0.0,0.8
Dwight Powell,PF,2014,22.93,SR,Stanford,81.5,234.4,84.5,105.0,34,0.531,0.47700000000000004,7.412999999999999,21.06,14.052999999999999,16.84,2.167,3.24,17.373,24.947,462.0,2.26,3.16,5.44,-0.1,1.1,1.0
Henry Sims,C,2012,22.26,SR,Georgetown,82.0,241.2,88.0,108.0,55,0.539,0.501,8.4,18.633,13.767000000000001,23.6,1.4,5.332999999999999,22.1,23.6,322.0,1.767,3.9330000000000003,5.632999999999999,-2.1,-0.7,-2.8
Keldon Johnson,SG,2019,19.69,FR,Kentucky,76.75,216.4,81.25,104.0,12,0.5579999999999999,0.521,5.5,16.5,11.3,10.4,1.5,0.6,11.8,22.7,466.0,4.1,2.6,6.7,0.7,-1.2,-0.5
Shelvin Mack,PG,2011,21.17,JR,Butler,73.0,209.0,79.5,96.5,161,0.537,0.496,2.6,14.4,8.4,24.9,1.5,0.3,14.1,28.6,593.0,5.6,1.0,6.6,-0.6,-0.5,-1.1
Noah Vonleh,PF,2014,18.84,FR,Indiana,80.0,247.1,88.25,108.0,10,0.604,0.56,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,321.0,2.9,3.7,6.6,-3.0,-0.9,-3.9
Cory Joseph,PG,2011,19.84,FR,Texas,74.0,186.2,77.5,99.0,13,0.526,0.503,2.2,9.5,6.0,17.3,1.9,0.9,13.1,17.3,372.0,2.7,3.8,6.5,-0.4,1.3,0.9
Romeo Langford,SG,2019,19.65,FR,Indiana,76.5,210.0,83.0,103.0,6,0.542,0.491,4.8,12.8,8.9,14.2,1.3,2.7,12.2,26.1,508.0,4.6,1.9,6.5,-2.3,1.0,-1.2999999999999998
Norman Powell,SG,2015,22.08,SR,UCLA,75.0,215.4,82.75,102.5,55,0.552,0.515,2.02,12.033,7.0329999999999995,11.892999999999999,2.9,1.6869999999999998,12.453,22.04,420.267,2.4930000000000003,2.9130000000000003,5.34,-3.2,0.2,-3.0
Jerami Grant,SF,2014,20.29,SO,Syracuse,78.5,214.0,86.75,107.0,44,0.535,0.493,9.067,16.533,12.667,8.232999999999999,1.733,2.967,11.2,19.3,304.66700000000003,2.9330000000000003,2.733,5.667000000000001,-2.1,0.8,-1.3
Kyle Singler,SF,2011,23.13,SR,Duke,79.5,228.0,82.1,106.0,6,0.536,0.491,8.0,13.3,10.8,8.8,1.5,0.8,10.7,24.7,598.0,4.6,1.8,6.4,-0.7,-0.7,-1.4
Kyle Kuzma,SF,2017,21.91,JR,Utah,80.0,222.6,84.25,107.5,253,0.5589999999999999,0.54,9.929,21.271,16.014,14.443,0.9,1.743,14.429,26.143,397.14300000000003,3.714,0.914,4.629,-1.6,-1.0,-2.6
Malik Beasley,SG,2016,19.57,FR,Florida State,75.5,189.8,79.0,100.5,36,0.583,0.541,5.0,15.1,10.1,9.8,1.8,0.6,11.5,24.2,483.0,5.2,1.0,6.2,0.8,-0.7,0.10000000000000009
Miles Plumlee,PF,2012,23.82,SR,Duke,82.5,252.4,84.75,105.5,82,0.593,0.581,15.533,22.333000000000002,18.967,4.7,1.6,3.6,18.067,15.9,228.667,2.967,2.367,5.332999999999999,-1.5,1.0,-0.5
Aaron Holiday,PG,2018,21.72,JR,UCLA,71.75,187.0,79.5,97.0,53,0.594,0.547,1.629,8.8,5.428999999999999,27.043000000000003,2.0709999999999997,0.6859999999999999,19.229,24.529,574.143,3.957,1.014,4.957,-3.3,-0.9,-4.2
Brandon Knight,PG,2011,19.56,FR,Kentucky,73.5,176.8,78.75,98.5,5,0.5529999999999999,0.508,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27.0,652.0,4.5,0.9,5.5,1.7,-2.2,-0.5000000000000002
Dewayne Dedmon,C,2013,23.87,JR,Southern California,82.0,238.8,88.0,109.0,151,0.524,0.5,11.7,26.6,18.9,5.8,2.9,10.0,19.8,18.5,213.0,0.2,5.2,5.4,-1.6,0.7,-0.9000000000000001
Jarrett Allen,C,2017,19.17,FR,Texas,81.0,233.6,89.25,109.5,18,0.5710000000000001,0.5660000000000001,10.9,18.9,14.9,5.7,1.0,5.0,17.8,22.6,428.0,2.6,2.6,5.2,1.4,1.0,2.4
Semaj Christon,PG,2014,21.65,SO,Xavier,73.5,186.0,78.5,99.0,36,0.53,0.485,1.2,8.3,4.867,27.6,2.467,0.667,16.0,27.866999999999997,533.3330000000001,2.9,1.5,4.4,-4.8,-0.3,-5.1
Frank Jackson,PG,2017,19.13,FR,Duke,74.0,201.6,79.5,98.0,14,0.598,0.564,3.1,8.3,5.8,12.6,1.3,0.2,12.9,21.1,371.0,3.7,1.4,5.1,-3.3,-2.2,-5.5
Nassir Little,SF,2019,19.35,FR,North Carolina,76.5,224.2,85.25,104.5,4,0.5489999999999999,0.504,9.2,16.8,13.0,6.4,1.5,3.3,13.0,25.2,323.0,2.9,2.2,5.1,-0.9,-0.6,-1.5
Kyle O'Quinn,PF,2012,22.26,SR,Norfolk State,80.5,240.8,88.75,106.5,161,0.616,0.58,11.933,27.3,19.567,9.732999999999999,1.2,9.633,15.9,24.3,528.3330000000001,3.2,1.2670000000000001,4.5,-1.7,1.5,-0.19999999999999996
Andre Drummond,C,2012,18.88,FR,Connecticut,81.75,278.6,90.25,109.5,187,0.509,0.5379999999999999,14.2,17.0,15.6,3.4,1.8,9.9,13.5,20.9,328.0,2.0,2.9,4.9,0.6,-0.7,-0.09999999999999998
Jaylen Nowell,SG,2019,19.95,SO,Washington,75.25,202.4,79.25,98.0,63,0.573,0.539,3.533,13.533,8.633,19.767,2.0669999999999997,0.833,16.567,25.8,555.3330000000001,2.733,1.2329999999999999,3.9330000000000003,1.5,-0.7,0.8
Jordan Clarkson,PG,2014,22.05,JR,Missouri,75.25,186.3,80.0,98.0,187,0.547,0.48200000000000004,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,605.0,3.8,0.5,4.3,-0.9,-1.6,-2.5
Jarell Martin,PF,2015,21.09,SO,Louisiana State,80.0,238.6,81.0,106.5,12,0.561,0.525,8.867,15.867,12.5,9.2,1.867,2.0669999999999997,15.4,23.267,456.667,2.733,1.433,4.2330000000000005,-3.3,-0.7,-4.0
Shabazz Muhammad,SF,2013,20.62,FR,UCLA,76.75,221.8,83.0,104.5,2,0.528,0.48700000000000004,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,520.0,5.8,-1.1,4.7,0.6,-3.1,-2.5
Tony Wroten,PG,2012,19.21,FR,Washington,76.75,203.2,81.0,101.0,16,0.488,0.45299999999999996,8.0,10.7,9.3,24.5,3.5,1.2,18.7,31.2,579.0,2.5,2.2,4.7,0.0,-1.2,-1.2
Talen Horton-Tucker,SG,2019,18.57,FR,Iowa State,74.5,235.4,85.25,103.0,67,0.488,0.47,2.9,16.7,10.2,16.2,2.8,2.7,12.4,26.2,403.0,1.7,2.5,4.2,-3.2,-0.2,-3.4000000000000004
Austin Rivers,SG,2012,19.91,FR,Duke,75.5,202.8,79.25,96.5,2,0.5379999999999999,0.505,2.2,10.0,6.0,13.0,1.7,0.1,13.9,25.2,488.0,3.2,0.8,4.0,-2.5,-0.3,-2.8
Jaylen Brown,SG,2016,19.66,FR,California,77.25,222.8,83.75,102.5,3,0.518,0.47100000000000003,4.4,16.6,10.8,15.3,1.7,2.2,17.9,31.4,476.0,1.1,2.5,3.6,-1.6,-0.4,-2.0
Luguentz Dort,PG,2019,20.17,FR,Arizona State,74.75,222.2,80.5,99.5,79,0.518,0.467,4.4,10.0,7.3,15.1,2.7,0.8,15.8,27.9,524.0,1.5,1.6,3.1,-1.5,-0.7,-2.2
Hamidou Diallo,SG,2018,19.89,FR,Kentucky,76.25,197.0,83.5,103.0,11,0.498,0.47,4.2,11.5,8.1,9.5,1.7,1.6,12.0,22.6,348.0,0.6,2.3,2.9,-2.2,0.1,-2.1
Zach LaVine,PG,2014,19.3,FR,UCLA,76.5,180.9,80.25,100.0,52,0.545,0.524,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,324.0,1.7,1.2,2.9,1.5,-1.4,0.10000000000000009
Naz Reid,PF,2019,19.82,FR,Louisiana State,80.25,255.8,87.25,109.0,15,0.544,0.507,10.5,19.2,14.9,6.2,1.5,2.8,16.6,26.4,440.0,2.3,0.5,2.8,-0.5,0.5,0.0
Archie Goodwin,SG,2013,18.86,FR,Kentucky,75.75,189.0,81.5,102.0,12,0.509,0.46399999999999997,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,467.0,1.0,1.1,2.1,-2.1,-1.5,-3.6
